,aceptado_ambos,aceptado_arbol,aceptado_modelo
tasa_promedio_real,134.51706347320427,128.32839000142982,0.0
tasa_promedio_modelo,146.71285436897375,0.0,134.08830548926014
monto_promedio_real,23308.805544444447,23324.78631983621,0.0
monto_promedio_modelo,23925.925925925927,0.0,29928.571428571428
fico_promedio,513.6822120719639,522.114708967908,549.6300715990453
rentabilidad_real,0.22132346123509888,0.17099994363904716,0.0
rentabilidad_modelo,0.5390974915718896,0.0,0.560261
contribucion_marginal_real,348340.78316739935,238426.07812564104,0.0
contribucion_marginal_modelo,11991.40378555782,0.0,77785.87764573109
total,135.0,157.0,14.0
